model,feature,importance,feature_type
Random Forest,Morgan_bit_238,0.0001881869797932422,Morgan fingerprint
Random Forest,Morgan_bit_239,0.00037205107708652806,Morgan fingerprint
Random Forest,Morgan_bit_240,0.00026850063361754284,Morgan fingerprint
Random Forest,Morgan_bit_241,0.00017971628251523645,Morgan fingerprint
Random Forest,Morgan_bit_242,0.0008394018652812696,Morgan fingerprint
Random Forest,Morgan_bit_243,0.0005905785465475532,Morgan fingerprint
Random Forest,Morgan_bit_244,7.971109537310721e-05,Morgan fingerprint
Random Forest,Morgan_bit_245,0.0005055148130875702,Morgan fingerprint
Random Forest,Morgan_bit_246,9.217981567147248e-05,Morgan fingerprint
Random Forest,Morgan_bit_247,0.00015307504110743207,Morgan fingerprint
Random Forest,Morgan_bit_248,0.00045001361565307754,Morgan fingerprint
Random Forest,Morgan_bit_249,0.001295896608987923,Morgan fingerprint
Random Forest,Morgan_bit_250,0.00019629618760000068,Morgan fingerprint
Random Forest,Morgan_bit_251,0.0007613341654089907,Morgan fingerprint
Random Forest,Morgan_bit_252,0.0006448127894344692,Morgan fingerprint
Random Forest,Morgan_bit_253,0.0009880660858226625,Morgan fingerprint
Random Forest,Morgan_bit_254,0.00014246532402518205,Morgan fingerprint
Random Forest,Morgan_bit_255,0.0004510618235768261,Morgan fingerprint
Random Forest,Morgan_bit_256,4.6554261498301144e-05,Morgan fingerprint
Random Forest,Morgan_bit_257,0.00020982794784696346,Morgan fingerprint
Random Forest,Morgan_bit_258,0.00011074431633447197,Morgan fingerprint
Random Forest,Morgan_bit_259,0.00012531356543913778,Morgan fingerprint
Random Forest,Morgan_bit_260,0.00026895868812411983,Morgan fingerprint
Random Forest,Morgan_bit_261,0.0001313031612915874,Morgan fingerprint
Random Forest,Morgan_bit_262,0.0001733234677838187,Morgan fingerprint
Random Forest,Morgan_bit_263,0.0002757774509344453,Morgan fingerprint
Random Forest,Morgan_bit_264,5.1425460669034226e-05,Morgan fingerprint
Random Forest,Morgan_bit_265,0.0004849419822406975,Morgan fingerprint
Random Forest,Morgan_bit_266,0.00010256073394204919,Morgan fingerprint
Random Forest,Morgan_bit_267,0.00031347349322174387,Morgan fingerprint
Random Forest,Morgan_bit_268,7.161016149696856e-05,Morgan fingerprint
Random Forest,Morgan_bit_269,0.00016631026744980633,Morgan fingerprint
Random Forest,Morgan_bit_270,0.0003467436098805995,Morgan fingerprint
Random Forest,Morgan_bit_271,0.00017482349194680597,Morgan fingerprint
Random Forest,Morgan_bit_272,0.0001387165296604734,Morgan fingerprint
Random Forest,Morgan_bit_273,9.197614188264873e-05,Morgan fingerprint
Random Forest,Morgan_bit_274,9.218475211556641e-05,Morgan fingerprint
Random Forest,Morgan_bit_275,0.00024532396664988105,Morgan fingerprint
Random Forest,Morgan_bit_276,0.00036718209477266874,Morgan fingerprint
Random Forest,Morgan_bit_277,0.0004594737115433286,Morgan fingerprint
Random Forest,Morgan_bit_278,0.00016638607765325948,Morgan fingerprint
Random Forest,Morgan_bit_279,4.4435876679031775e-05,Morgan fingerprint
Random Forest,Morgan_bit_280,0.0002305904102004442,Morgan fingerprint
Random Forest,Morgan_bit_281,0.0003109554113510991,Morgan fingerprint
Random Forest,Morgan_bit_282,0.0002763565192778502,Morgan fingerprint
Random Forest,Morgan_bit_283,0.0021534858532412248,Morgan fingerprint
Random Forest,Morgan_bit_284,0.002117622590406112,Morgan fingerprint
Random Forest,Morgan_bit_285,0.00018066936076331606,Morgan fingerprint
Random Forest,Morgan_bit_286,0.00014937519595714375,Morgan fingerprint
Random Forest,Morgan_bit_287,0.00013388776534861675,Morgan fingerprint
Random Forest,Morgan_bit_288,0.0006218503521798045,Morgan fingerprint
Random Forest,Morgan_bit_289,0.00040863558906438534,Morgan fingerprint
